OR,44.94124711,-123.0042352
ME,44.6513,-68.4507
TX,29.48886592,-98.47524044
FL,27.2856863,-80.36344364
MT,48.4111,-114.3376
MA,42.04949014,-70.69308169
CA,34.13826477,-118.3920568
FL,28.9356,-82.3895
NJ,39.07793837,-77.14956651
MD,34.03061422,-117.1497536
CA,40.2494,-85.6708
CA,38.8251,-90.7289
IN,32.78722908,-117.1402677
MO,32.7001,-114.1754
CA,21.4526301,-157.8284456
AZ,24.58480294,-81.68395882
FL,39.68000199,-104.7929671
HI,44.56136585,-69.55774878
NY,37.681,-122.1244
WI,43.1876,-84.8551
FL,47.1725,-122.1845
CO,40.824,-74.3687
ME,46.4823,-90.154
CA,40.00341687,-82.99822087
IN,40.27123157,-111.6240043
MI,43.2779,-112.5627
WA,43.1153,-70.7051
NJ,42.10444318,-79.25187348
MO,33.9775,-118.2133
MI,39.77638902,-121.8275963
OH,42.27738134,-89.04477791
IL,36.1816,-82.8417
UT,39.86919778,-105.0420067
ID,31.79232818,-106.3748489
ME,33.73731449,-116.3779536
NY,32.9831,-80.1223
CA,36.14124586,-115.1865919
CA,35.96097333,-95.3941
IL,34.1326359,-118.0365487
TN,44.9752,-93.5275
CO,42.56675798,-83.15395782
TX,39.5455,-75.1959
KY,44.8371,-92.5917
NV,37.414,-79.7242
CA,39.17450312,-84.48136299
SC,31.31522324,-94.74656595
NV,47.82361835,-122.2948047
OK,33.77568084,-117.9588831
CA,40.62226047,-79.14650078
TX,39.503644,-118.3094
MN,38.8898,-122.5532
MI,32.25994076,-110.9275423
NJ,47.5336,-121.7997
WI,34.1593127,-118.2528196
VA,39.74054676,-105.2699921
OH,33.57603491,-112.1943924
TX,33.85897941,-118.0004103
PA,42.7324,-71.1862
WA,48.1853,-121.6778
OR,61.53757925,-149.5421038
CA,39.0429,-122.9158
PA,41.52893609,-88.12235015
NV,37.65029014,-122.0760055
,34.05070709,-118.2799351
CA,36.5349,-116.473
AZ,40.31809857,-78.90465429
AZ,38.9822,-80.2008
WA,41.3789,-74.3637
CA,37.33884202,-121.8897057
CO,39.8946,-84.6103
AZ,36.7144,-120.1561
CA,42.94334184,-85.64301557
MA,40.55069823,-105.077295
WA,42.4586,-71.3597
AK,40.68887619,-122.3765143
CA,41.3333,-73.1019
IL,39.50650741,-119.8174511
CA,35.12547266,-89.92692482
CA,40.438,-80.763
NV,47.60904639,-122.3260283
PA,27.05459091,-80.14346909
WV,40.75656806,-84.10107592
NY,25.77414271,-80.2895185
CA,38.91147669,-92.30242962
OH,44.6849,-92.8849
WA,30.3843725,-87.016175
CA,34.26942403,-118.7627099
MI,40.9588,-75.3006
CO,33.4782,-117.7064
MA,44.03954498,-123.1251574
CA,34.73753628,-92.36319236
MN,32.8283,-91.89551053
CT,38.45256501,-122.7179001
NV,39.0131,-84.2049
TN,41.7847,-71.9629
OH,42.6368,-78.878
WA,39.96578947,-120.9992684
FL,42.6178604,-70.71434257
OH,41.6318,-70.8801
FL,43.4583,-102.1747
MO,33.53538055,-112.04946
MN,45.53242778,-94.20982843
FL,45.75458535,-108.5015771
CA,32.84971679,-83.6746703
PA,40.59,-73.6446
CA,29.5711,-97.9299
OR,38.4506,-109.6027
AR,36.7875,-97.3007
LA,44.793,-89.7032
CA,43.2186,-77.4494
OH,31.57512718,-110.1816068
CT,46.6169,-92.4606
MA,39.4053,-76.4436
NY,35.4988,-104.937
CA,40.57773258,-74.14641801
MA,33.74152496,-117.8634298
MA,34.21955353,-119.0331022
SD,41.7156845,-71.42906015
AZ,44.3,-77.95
MN,44.6579,-88.9271
MT,41.6434,-71.4783
GA,28.6812,-81.2763
NY,41.166,-80.0615
TX,40.44309195,-79.97424169
UT,40.4701,-79.2036
OK,42.23814643,-88.30697321
OK,40.1208,-77.1045
UT,40.3383,-79.0838
WI,31.8894,-110.1845
NY,46.1107,-118.3077
AZ,36.0027,-95.9775
MN,42.28187174,-82.99623884
MD,48.0823,-103.8841
NM,36.88938336,-76.26208236
BC,44.37673474,-79.68752632
NY,27.31073444,-82.49044026
CA,43.3149,-89.8056
CA,43.05174403,-87.95998544
RI,37.76999211,-122.425394
ON,38.34323901,-122.7040505
WI,36.83730134,-76.06194815
RI,38.3560959,-81.64009134
FL,29.96590338,-90.07844564
OH,41.0341,-74.4174
PA,36.6873,-104.2485
PA,37.6485,-76.3891
PA,41.6259,-94.0427
IL,33.4037283,-112.3741774
PA,35.2201088,-113.9018102
PA,34.63572069,-112.5686276
AZ,33.37972857,-112.5626352
CO,33.42126454,-111.7727973
WA,33.5778,-113.0234
OK,38.8932,-77.3341
ON,34.02342753,-118.4816765
ND,30.250995,-87.68415
VA,32.3267748,-90.19263976
ON,33.47298615,-88.44492154
FL,33.2581,-116.9821
WI,39.00225823,-84.65651646
WI,28.735854,-100.453048
CA,35.05513711,-85.27057025
CA,34.0336,-117.0431
VA,42.3464,-75.3128
MI,35.34399793,-119.0408926
